%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1598621631523970782,4959,1598621631523613432,xsense,-0.811090427521,0.155940859773,-0.545617591521,-0.141831627148,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0700787822141,1.80579506241,-0.129769233709,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58207707873,1.25405674881,-4.90296215057,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631525018701,4960,1598621631524671279,xsense,-0.805701171961,0.154384741258,-0.553490246624,-0.143734199339,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044949245989,1.97064078653,-0.0687785843848,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87048462006,1.11760449706,-4.73900152137,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631525600871,4961,1598621631525145566,xsense,-0.799900297249,0.152952833633,-0.561761872811,-0.145562850346,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0460437842013,2.07375578552,-0.0160945107717,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01977739879,0.668644433711,-3.96068047762,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631528445529,4962,1598621631528061545,xsense,-0.794178188579,0.151669033184,-0.569725492108,-0.147276518159,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0516543815922,2.00879143982,0.00886742024038,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.235709973,0.735820603308,-2.70216343203,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631564550177,4963,1598621631564032790,xsense,-0.789001632068,0.150360808022,-0.576834275826,-0.148762462457,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0223247811051,1.80365976006,-0.010517561248,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61097252135,0.448504874974,-1.77198185999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631564945214,4964,1598621631564551544,xsense,-0.784041299145,0.149047749973,-0.583488340583,-0.150350809332,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0453843845519,1.71108524505,-0.0433926038568,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79657168935,0.129328106952,-1.87650394342,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631565931396,4965,1598621631565617332,xsense,-0.779488180659,0.147663792707,-0.589514338725,-0.151876347645,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0335223181978,1.56442740064,-0.0779389612152,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59541578099,0.275189428339,-2.28993301846,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631566483547,4966,1598621631566129873,xsense,-0.775086125891,0.146160265546,-0.595239479212,-0.153520801894,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0424809708983,1.50766965063,-0.124530388427,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35573091779,0.451278718876,-2.63727079645,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631603816783,4967,1598621631603345126,xsense,-0.770471657844,0.144615342652,-0.601123206999,-0.155276260697,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0564258708871,1.56124447454,-0.132754027542,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87778955855,0.644282668738,-2.86183444249,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631604327605,4968,1598621631604111287,xsense,-0.765661761951,0.143208979502,-0.607162072373,-0.156867690579,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049614991627,1.6005536899,-0.0815615677339,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61868498199,0.898403773659,-3.00027130413,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
